,year,category,winner,title,genres,MovieLensrating,runtimeMinutes,IMDBRating,numVotes
320,2007,BEST PICTURE,False,Michael Clayton,Drama|Thriller,3.72,119,7.3,148135.0
321,2007,BEST PICTURE,True,No Country for Old Men,Crime|Drama,4.01,122,8.1,758991.0
322,2007,BEST PICTURE,False,There Will Be Blood,Drama|Western,3.97,158,8.2,458895.0
323,2008,BEST PICTURE,False,The Curious Case of Benjamin Button,,,166,7.8,534801.0
324,2008,BEST PICTURE,False,Frost/Nixon,Drama,3.77,122,7.7,96675.0
325,2008,BEST PICTURE,False,Milk,Drama,3.75,128,7.6,154879.0
326,2008,BEST PICTURE,False,Milk,Drama,3.75,102,6.7,2583.0
327,2008,BEST PICTURE,False,The Reader,,,124,7.6,216679.0
328,2008,BEST PICTURE,True,Slumdog Millionaire,Crime|Drama|Romance,3.85,120,8.0,741778.0
329,2009,BEST PICTURE,False,Avatar,Action|Adventure|Sci-Fi|IMAX,3.65,162,7.8,1033804.0
330,2009,BEST PICTURE,False,The Blind Side,,,129,7.7,264785.0
331,2009,BEST PICTURE,False,District 9,Mystery|Sci-Fi|Thriller,3.81,112,7.9,600315.0
332,2009,BEST PICTURE,False,An Education,,,100,7.3,122655.0
333,2009,BEST PICTURE,True,The Hurt Locker,,,,,
334,2009,BEST PICTURE,False,Inglourious Basterds,Action|Drama|War,4.0,153,8.3,1104975.0
335,2009,BEST PICTURE,False,Precious: Based on the Novel 'Push' by Sapphire,,,,,
336,2009,BEST PICTURE,False,A Serious Man,,,106,7.1,120698.0
337,2009,BEST PICTURE,False,Up,Adventure|Animation|Children|Drama,3.97,96,8.2,834205.0
338,2009,BEST PICTURE,False,Up in the Air,Drama|Romance,3.7,109,7.4,299333.0
339,2010,BEST PICTURE,False,Black Swan,Drama|Thriller,3.79,108,8.0,643344.0
340,2010,BEST PICTURE,False,The Fighter,,,116,7.8,314452.0
341,2010,BEST PICTURE,False,Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.16,148,8.8,1815438.0
342,2010,BEST PICTURE,False,The Kids Are All Right,,,106,7.0,120209.0
343,2010,BEST PICTURE,True,The King's Speech,,,118,8.0,588876.0
344,2010,BEST PICTURE,False,127 Hours,Adventure|Drama|Thriller,3.63,94,7.6,321073.0
345,2010,BEST PICTURE,False,The Social Network,,,120,7.7,564394.0
346,2010,BEST PICTURE,False,Toy Story 3,Adventure|Animation|Children|Comedy|Fantasy|IMAX,3.87,103,8.3,672603.0
347,2010,BEST PICTURE,False,True Grit,Western,3.8,110,7.6,281676.0
348,2010,BEST PICTURE,False,Winter's Bone,Drama|Thriller,3.69,100,7.2,127048.0
349,2011,BEST PICTURE,True,The Artist,Comedy|Drama|Romance,3.75,100,7.9,216121.0
350,2011,BEST PICTURE,True,The Artist,Comedy|Drama|Romance,3.75,100,8.0,5.0
351,2011,BEST PICTURE,False,The Descendants,,,115,7.3,222664.0
352,2011,BEST PICTURE,False,Extremely Loud & Incredibly Close,,,129,6.9,92715.0
353,2011,BEST PICTURE,False,The Help,,,146,8.1,389087.0
354,2011,BEST PICTURE,False,Hugo,Children|Drama|Mystery,3.54,126,7.5,283131.0
355,2011,BEST PICTURE,False,Midnight in Paris,Comedy|Fantasy|Romance,3.79,94,7.7,353610.0
356,2011,BEST PICTURE,False,Moneyball,Drama,3.86,133,7.6,323648.0
357,2011,BEST PICTURE,False,The Tree of Life,,,139,6.8,155360.0
358,2011,BEST PICTURE,False,War Horse,Drama|War,3.39,146,7.2,135219.0
359,2012,BEST PICTURE,False,Amour,Drama|Romance,3.81,127,7.9,84339.0
360,2012,BEST PICTURE,True,Argo,Drama|Thriller,3.78,120,7.7,530880.0
361,2012,BEST PICTURE,False,Beasts of the Southern Wild,Drama|Fantasy,3.65,93,7.3,77134.0
362,2012,BEST PICTURE,False,Django Unchained,Action|Drama|Western,4.0,165,8.4,1194849.0
363,2012,BEST PICTURE,False,Les Misérables,,,158,7.6,283626.0
364,2012,BEST PICTURE,False,Life of Pi,Adventure|Drama|IMAX,3.7,127,7.9,529919.0
365,2012,BEST PICTURE,False,Lincoln,Drama|War,3.63,150,7.4,227225.0
366,2012,BEST PICTURE,False,Silver Linings Playbook,Comedy|Drama,3.73,122,7.7,617297.0
367,2012,BEST PICTURE,False,Zero Dark Thirty,Action|Drama|Thriller,3.71,157,7.4,248850.0
368,2013,BEST PICTURE,False,American Hustle,Crime|Drama,3.55,138,7.2,415450.0
369,2013,BEST PICTURE,False,Captain Phillips,Adventure|Drama|Thriller|IMAX,3.8,134,7.8,384246.0
370,2013,BEST PICTURE,False,Dallas Buyers Club,Drama,3.91,117,8.0,399190.0
371,2013,BEST PICTURE,False,Gravity,Action|Sci-Fi|IMAX,3.63,91,7.7,702473.0
372,2013,BEST PICTURE,False,Her,Drama|Romance|Sci-Fi,3.88,126,8.0,460550.0
373,2013,BEST PICTURE,False,Nebraska,Adventure|Drama,3.73,115,7.7,104721.0
374,2013,BEST PICTURE,False,Philomena,Comedy|Drama,3.75,98,7.6,88225.0
375,2013,BEST PICTURE,True,12 Years a Slave,Drama,3.88,134,8.1,570967.0
376,2013,BEST PICTURE,False,The Wolf of Wall Street,,,180,8.2,1020561.0
377,2014,BEST PICTURE,False,American Sniper,Action|War,3.49,133,7.3,398192.0
378,2014,BEST PICTURE,True,Birdman or (The Unexpected Virtue of Ignorance),,,119,7.7,513031.0
379,2014,BEST PICTURE,False,Boyhood,Drama,3.81,165,7.9,313703.0
380,2014,BEST PICTURE,False,The Grand Budapest Hotel,,,99,8.1,626412.0
381,2014,BEST PICTURE,False,The Imitation Game,Drama|Thriller|War,4.02,114,8.0,612589.0
382,2014,BEST PICTURE,False,Selma,Drama,3.68,128,7.5,77012.0
383,2014,BEST PICTURE,False,The Theory of Everything,Drama|Romance,3.81,123,7.7,356799.0
384,2014,BEST PICTURE,False,Whiplash,Drama,4.13,106,8.5,604511.0
385,2015,BEST PICTURE,False,The Big Short,,,130,7.8,304681.0
386,2015,BEST PICTURE,False,Bridge of Spies,Drama|Thriller,3.79,142,7.6,260518.0
387,2015,BEST PICTURE,False,Brooklyn,Drama|Romance,3.78,117,7.5,115811.0
388,2015,BEST PICTURE,False,Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,3.83,120,8.1,769890.0
389,2015,BEST PICTURE,False,The Martian,Adventure|Drama|Sci-Fi,4.04,144,8.0,669824.0
390,2015,BEST PICTURE,False,The Revenant,Adventure|Drama,3.77,156,8.0,610889.0
391,2015,BEST PICTURE,False,Room,Drama,3.98,118,8.2,310530.0
392,2015,BEST PICTURE,True,Spotlight,Thriller,4.08,129,8.1,359458.0
393,2015,BEST PICTURE,True,Spotlight,Thriller,4.08,99,8.1,12.0
394,2016,BEST PICTURE,False,Arrival,Sci-Fi,4.02,116,7.9,505053.0
395,2016,BEST PICTURE,False,Fences,Drama,3.5,139,7.2,85255.0
396,2016,BEST PICTURE,False,Hacksaw Ridge,Drama|War,3.86,139,8.1,359456.0
397,2016,BEST PICTURE,False,Hell or High Water,Crime|Drama,3.88,102,7.6,172935.0
398,2016,BEST PICTURE,False,Hidden Figures,Drama,4.01,127,7.8,168163.0
399,2016,BEST PICTURE,False,La La Land,Comedy|Drama|Romance,3.75,128,8.0,427459.0
400,2016,BEST PICTURE,False,Lion,Drama,3.92,118,8.1,178525.0
401,2016,BEST PICTURE,False,Manchester by the Sea,Drama,3.85,137,7.8,211347.0
402,2016,BEST PICTURE,True,Moonlight,,,111,7.4,223285.0
403,2017,BEST PICTURE,False,Call Me by Your Name,Drama|Romance,3.82,132,7.9,148874.0
404,2017,BEST PICTURE,False,Darkest Hour,Drama|War,3.79,125,7.4,133177.0
405,2017,BEST PICTURE,False,Dunkirk,Action|Drama|Thriller|War,3.8,106,7.9,456396.0
406,2017,BEST PICTURE,False,Get Out,Horror,3.95,104,7.7,384419.0
407,2017,BEST PICTURE,False,Lady Bird,Comedy,3.79,94,7.4,172468.0
408,2017,BEST PICTURE,False,Phantom Thread,Drama|Romance,3.62,130,7.5,83673.0
409,2017,BEST PICTURE,False,The Post,Drama|Thriller,3.63,116,7.2,105173.0
410,2017,BEST PICTURE,True,The Shape of Water,Adventure|Drama|Fantasy,3.6,123,7.3,299111.0
411,2017,BEST PICTURE,False,"Three Billboards Outside Ebbing, Missouri",Crime|Drama,4.01,115,8.2,332659.0
